Gyariszam;Azonosito;Kezdo_datum;Zaro_datum;Hatasos_ertek_kWh;Hatasos_statusz;Hatasos_vesz_ertek_kWh;Hatasos_vesz_statusz;Szaldo_ertek_kWh;Szaldo_statusz
9940220802;HU000220F11-S00000000000007928672;2025-04-13 10:15:00;2025-04-13 10:30:00;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 10:30:00;2025-04-13 10:45:00;0,170000;2;0,000000;2;0,170000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 10:45:00;2025-04-13 11:00:00;0,044000;2;0,000000;2;0,044000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 11:00:00;2025-04-13 11:15:00;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 11:15:00;2025-04-13 11:30:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 11:30:00;2025-04-13 11:45:00;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 11:45:00;2025-04-13 12:00:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 12:00:00;2025-04-13 12:15:00;0,240000;2;0,000000;2;0,240000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 12:15:00;2025-04-13 12:30:00;0,039000;2;0,000000;2;0,039000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 12:30:00;2025-04-13 12:45:00;0,107000;2;0,000000;2;0,107000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 12:45:00;2025-04-13 13:00:00;0,187000;2;0,000000;2;0,187000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 13:00:00;2025-04-13 13:15:00;0,183000;2;0,000000;2;0,183000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 13:15:00;2025-04-13 13:30:00;0,156000;2;0,000000;2;0,156000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 13:30:00;2025-04-13 13:45:00;0,181000;2;0,000000;2;0,181000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 13:45:00;2025-04-13 14:00:00;0,247000;2;0,000000;2;0,247000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 14:00:00;2025-04-13 14:15:00;0,143000;2;0,000000;2;0,143000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 14:15:00;2025-04-13 14:30:00;0,109000;2;0,000000;2;0,109000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 14:30:00;2025-04-13 14:45:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 14:45:00;2025-04-13 15:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 15:00:00;2025-04-13 15:15:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 15:15:00;2025-04-13 15:30:00;0,288000;2;0,000000;2;0,288000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 15:30:00;2025-04-13 15:45:00;0,400000;2;0,000000;2;0,400000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 15:45:00;2025-04-13 16:00:00;0,430000;2;0,000000;2;0,430000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 16:00:00;2025-04-13 16:15:00;0,220000;2;0,000000;2;0,220000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 16:15:00;2025-04-13 16:30:00;0,042000;2;0,000000;2;0,042000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 16:30:00;2025-04-13 16:45:00;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 16:45:00;2025-04-13 17:00:00;0,041000;2;0,000000;2;0,041000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 17:00:00;2025-04-13 17:15:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 17:15:00;2025-04-13 17:30:00;0,224000;2;0,000000;2;0,224000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 17:30:00;2025-04-13 17:45:00;0,035000;2;0,000000;2;0,035000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 17:45:00;2025-04-13 18:00:00;0,046000;2;0,000000;2;0,046000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 18:00:00;2025-04-13 18:15:00;0,041000;2;0,000000;2;0,041000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 18:15:00;2025-04-13 18:30:00;0,043000;2;0,000000;2;0,043000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 18:30:00;2025-04-13 18:45:00;0,035000;2;0,000000;2;0,035000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 18:45:00;2025-04-13 19:00:00;0,118000;2;0,000000;2;0,118000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 19:00:00;2025-04-13 19:15:00;0,151000;2;0,000000;2;0,151000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 19:15:00;2025-04-13 19:30:00;0,049000;2;0,000000;2;0,049000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 19:30:00;2025-04-13 19:45:00;0,038000;2;0,000000;2;0,038000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 19:45:00;2025-04-13 20:00:00;0,023000;2;0,000000;2;0,023000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 20:00:00;2025-04-13 20:15:00;0,145000;2;0,000000;2;0,145000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 20:15:00;2025-04-13 20:30:00;0,025000;2;0,000000;2;0,025000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 20:30:00;2025-04-13 20:45:00;0,023000;2;0,000000;2;0,023000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 20:45:00;2025-04-13 21:00:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 21:00:00;2025-04-13 21:15:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 21:15:00;2025-04-13 21:30:00;0,030000;2;0,000000;2;0,030000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 21:30:00;2025-04-13 21:45:00;0,030000;2;0,000000;2;0,030000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 21:45:00;2025-04-13 22:00:00;0,028000;2;0,000000;2;0,028000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 22:00:00;2025-04-13 22:15:00;0,028000;2;0,000000;2;0,028000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 22:15:00;2025-04-13 22:30:00;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 22:30:00;2025-04-13 22:45:00;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 22:45:00;2025-04-13 23:00:00;0,030000;2;0,000000;2;0,030000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 23:00:00;2025-04-13 23:15:00;0,029000;2;0,000000;2;0,029000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 23:15:00;2025-04-13 23:30:00;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 23:30:00;2025-04-13 23:45:00;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-04-13 23:45:00;2025-04-14 00:00:00;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 00:00:00;2025-03-15 00:15:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 00:15:00;2025-03-15 00:30:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 00:30:00;2025-03-15 00:45:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 00:45:00;2025-03-15 01:00:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 01:00:00;2025-03-15 01:15:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 01:15:00;2025-03-15 01:30:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 01:30:00;2025-03-15 01:45:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 01:45:00;2025-03-15 02:00:00;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-15 02:00:00;2025-03-15 02:15:00;0,016000;2;0,000000;2;0,016000;2
